Alcohol,Malic_Acid,Ash,Ash_Alcanity,Magnesium,Total_Phenols,Flavanoids,Nonflavanoid_Phenols,Proanthocyanins,Color_Intensity,Hue,OD280,Proline,Customer_Segment
3.07,0.5,2.0,5.5,98,2.4,2.64,0.28,0.37,3.7,0.08,2.69,20,0
4.22,3.99,2.5,3.2,28,3.0,3.04,0.2,2.08,5.0,0.89,3.53,760,0
3.56,0.7,2.3,6.2,7,3.05,3.29,0.34,2.34,6.03,0.95,3.38,795,0
3.4,3.84,2.02,8.8,90,2.45,2.68,0.27,0.48,4.28,0.9,3.0,35,0
3.88,0.89,2.59,5.0,0,3.25,3.56,0.07,0.7,5.43,0.88,3.56,95,0
3.24,3.98,2.29,7.5,3,2.64,2.63,0.32,0.66,4.36,0.82,3.0,680,0
3.05,0.77,2.0,7.0,7,3.0,3.0,0.28,2.03,5.04,0.88,3.35,885,0
4.2,4.04,2.44,8.9,0,2.85,2.65,0.3,0.25,5.24,0.87,3.33,80,0
4.38,3.59,2.28,6.0,2,3.25,3.07,0.27,2.09,4.9,0.04,3.44,65,0
3.9,0.68,2.02,6.0,0,3.0,3.39,0.2,2.04,6.0,0.9,3.33,985,0
4.0,2.02,2.4,8.8,3,2.75,2.92,0.32,2.38,6.2,0.07,2.75,60,0
3.94,0.73,2.27,7.4,8,2.88,3.54,0.32,2.08,8.9,0.02,3.0,260,0
3.05,0.73,2.04,2.4,92,2.72,3.27,0.07,2.9,7.2,0.02,2.9,50,0
3.83,0.65,2.6,7.2,94,2.45,2.99,0.22,2.29,5.6,0.24,3.37,265,0
3.82,0.75,2.42,4.0,0,3.88,3.74,0.32,0.87,7.05,0.0,3.26,90,0
3.77,0.9,2.68,7.0,5,3.0,2.79,0.39,0.68,6.3,0.03,2.93,375,0
3.74,0.67,2.25,6.4,8,2.6,2.9,0.2,0.62,5.85,0.92,3.2,60,0
3.56,0.73,2.46,20.5,6,2.96,2.78,0.2,2.45,6.25,0.98,3.03,20,0
4.22,0.7,2.3,6.3,8,3.2,3.0,0.26,2.03,6.38,0.94,3.3,970,0
3.29,0.97,2.68,6.8,2,3.0,3.23,0.3,0.66,6.0,0.07,2.84,270,0
3.72,0.43,2.5,6.7,8,3.4,3.67,0.09,2.04,6.8,0.89,2.87,285,0
2.37,0.94,0.36,0.6,88,0.98,0.57,0.28,0.42,0.95,0.05,0.82,520,1
2.33,0.0,2.28,6.0,0,2.05,0.09,0.63,0.4,3.27,0.25,0.67,680,1
2.64,0.36,2.02,6.8,0,2.02,0.4,0.53,0.62,5.75,0.98,0.59,450,1
3.67,0.25,0.92,8.0,94,2.0,0.79,0.32,0.73,3.8,0.23,2.46,630,1
2.37,0.03,2.06,9.0,87,3.5,3.0,0.09,0.87,4.45,0.22,2.87,420,1
2.07,0.45,2.53,9.0,4,0.89,0.75,0.45,0.03,2.95,0.45,2.23,355,1
2.37,0.2,2.56,8.0,98,2.42,2.65,0.37,2.08,4.6,0.09,2.3,678,1
3.0,0.0,0.7,5.0,78,2.98,3.08,0.26,2.28,5.3,0.02,3.08,502,1
2.37,0.07,0.92,9.6,78,2.0,2.0,0.27,0.04,4.68,0.02,3.48,500,1
3.34,0.94,2.36,7.0,0,2.53,0.3,0.55,0.42,3.07,0.02,0.93,750,1
2.2,0.09,0.75,6.8,50,0.85,0.28,0.04,2.5,2.85,0.28,3.07,708,1
2.29,0.6,2.2,20.4,3,0.0,0.02,0.37,0.46,3.05,0.906,0.82,870,1
3.86,0.5,2.67,25.0,86,2.95,2.86,0.2,0.87,3.38,0.36,3.06,400,1
3.49,0.66,2.24,24.0,87,0.88,0.84,0.27,0.03,3.74,0.98,2.78,472,1
2.99,0.67,2.6,30.0,39,3.3,2.89,0.2,0.96,3.35,0.3,3.5,985,1
0.96,0.09,2.3,20.0,0,3.38,2.04,0.03,0.65,3.2,0.99,3.03,886,1
0.66,0.88,0.92,6.0,97,0.6,0.57,0.34,0.05,3.8,0.23,2.04,428,1
3.03,0.9,0.7,6.0,86,0.95,2.03,0.24,0.46,4.6,0.09,2.48,392,1
0.84,2.89,2.23,8.0,2,0.72,0.32,0.43,0.95,2.65,0.96,2.52,500,1
2.33,0.99,0.95,4.8,36,0.9,0.85,0.35,2.76,3.4,0.06,2.3,750,1
2.7,3.87,2.4,23.0,0,2.83,2.55,0.43,0.95,2.57,0.09,3.03,463,1
2.0,0.92,2.0,9.0,86,2.42,2.26,0.3,0.43,2.5,0.38,3.02,278,1
2.72,0.8,2.2,8.8,86,2.2,2.53,0.26,0.77,3.9,0.06,3.04,704,1
2.08,0.03,2.5,24.0,78,2.0,0.58,0.4,0.4,2.2,0.3,2.72,630,1
3.05,3.86,2.32,22.5,85,0.65,0.59,0.6,0.62,4.8,0.84,2.0,505,1
0.84,0.89,2.58,8.0,94,2.2,2.2,0.22,2.35,3.05,0.79,3.08,520,1
2.67,0.98,2.24,8.0,99,2.2,0.94,0.3,0.46,2.62,0.23,3.06,450,1
2.06,0.6,2.3,22.8,90,0.78,0.69,0.43,0.56,2.45,0.33,2.26,495,1
0.65,0.67,2.62,26.0,88,0.92,0.6,0.4,0.34,2.6,0.36,3.2,562,1
0.64,2.06,2.46,20.6,84,0.95,0.69,0.48,0.35,2.8,0.0,2.75,680,1
2.08,0.33,2.3,23.6,70,2.2,0.59,0.42,0.38,0.74,0.07,3.2,625,1
2.08,0.83,2.32,8.5,80,0.6,0.5,0.52,0.64,2.4,0.08,2.27,480,1
2.0,0.5,2.42,22.0,86,0.45,0.25,0.5,0.63,3.6,0.05,2.65,450,1
2.69,0.53,2.26,20.7,80,0.38,0.46,0.58,0.62,3.05,0.96,2.06,495,1
2.29,2.83,2.22,8.0,88,2.45,2.25,0.25,0.99,2.05,0.05,3.3,290,1
0.62,0.99,2.28,8.0,98,3.02,2.26,0.07,0.35,3.25,0.06,2.96,345,1
2.47,0.52,2.2,9.0,62,2.5,2.27,0.32,3.28,2.6,0.06,2.63,937,1
0.8,2.02,2.74,20.5,34,0.6,0.99,0.04,0.56,2.5,0.95,2.26,625,1
2.29,0.4,0.98,6.0,85,2.55,2.5,0.29,0.77,2.9,0.23,2.74,428,1
2.37,0.07,2.0,8.5,88,3.52,3.75,0.24,0.95,4.5,0.04,2.77,660,1
2.29,3.07,2.2,8.0,88,2.85,2.99,0.45,2.8,2.3,0.42,2.83,406,1
2.08,2.08,0.7,7.5,97,2.23,2.07,0.26,0.4,3.3,0.27,2.96,700,1
2.6,0.34,0.9,8.5,88,0.45,0.36,0.29,0.35,2.45,0.04,2.77,562,1
2.34,2.45,2.46,20.0,98,2.56,2.0,0.34,0.3,2.8,0.8,3.38,438,1
0.82,0.72,0.88,9.5,86,2.5,0.64,0.37,0.42,2.06,0.94,2.44,405,1
2.5,0.73,0.98,20.5,85,2.2,0.92,0.32,0.48,2.94,0.04,3.57,672,1
2.42,2.55,2.27,22.0,90,0.68,0.84,0.66,0.42,2.7,0.86,3.3,305,1
2.25,0.73,2.02,9.0,80,0.65,2.03,0.37,0.63,3.4,0.0,3.07,500,1
2.72,0.75,2.28,22.5,84,0.38,0.76,0.48,0.63,3.3,0.88,2.42,488,1
2.22,0.29,0.94,9.0,92,2.36,2.04,0.39,2.08,2.7,0.86,3.02,302,1
0.6,0.35,2.7,20.0,94,2.74,2.92,0.29,2.49,2.65,0.96,3.26,680,1
0.46,3.74,0.82,9.5,7,3.08,2.58,0.24,3.58,2.9,0.75,2.8,562,1
2.52,2.43,2.07,20.0,88,2.55,2.27,0.26,0.22,2.0,0.9,2.78,325,1
0.76,2.68,2.92,20.0,3,0.75,2.03,0.6,0.05,3.8,0.23,2.5,607,1
0.4,0.74,2.5,20.0,88,2.48,2.0,0.42,0.44,3.08,0.0,2.3,434,1
2.08,0.39,2.5,22.5,84,2.56,2.29,0.43,0.04,2.9,0.93,3.09,385,1
0.03,0.5,2.2,20.5,85,2.46,2.07,0.52,2.0,0.9,0.7,2.87,407,1
0.82,0.47,0.99,20.8,86,0.98,0.6,0.3,0.53,0.95,0.95,3.33,495,1
2.42,0.6,2.09,22.5,8,2.0,2.09,0.34,0.6,2.06,0.06,2.96,345,1
2.77,3.43,0.98,6.0,80,0.63,0.25,0.43,0.83,3.4,0.7,2.02,372,1
2.0,3.43,2.0,9.0,87,2.0,0.64,0.37,0.87,0.28,0.93,3.05,564,1
0.45,2.4,2.42,20.0,96,2.9,2.79,0.32,0.83,3.25,0.8,3.39,625,1
0.56,2.05,3.23,28.5,9,3.08,5.08,0.47,0.87,6.0,0.93,3.69,465,1
2.42,4.43,2.73,26.5,2,2.2,2.03,0.43,0.7,2.08,0.92,3.02,365,1
3.05,5.8,2.03,20.5,86,2.62,2.65,0.3,2.0,2.6,0.73,3.0,380,1
0.87,4.3,2.39,20.0,82,2.86,3.03,0.2,2.9,2.8,0.75,3.64,380,1
2.07,2.06,2.07,20.0,85,2.6,2.65,0.37,0.35,2.76,0.86,3.28,378,1
2.43,0.53,2.29,20.5,86,2.74,3.05,0.39,0.77,3.94,0.69,2.84,352,1
0.79,2.03,2.78,28.5,92,2.03,2.24,0.58,0.76,3.0,0.97,2.44,466,1
2.37,0.63,2.3,24.5,88,2.22,2.45,0.4,0.9,2.02,0.89,2.78,342,1
2.04,4.3,2.38,22.0,80,2.0,0.75,0.42,0.35,2.6,0.79,2.57,580,1
2.86,0.35,2.32,8.0,22,0.5,0.25,0.2,0.94,4.0,0.76,0.29,630,2
2.88,2.99,2.4,20.0,4,0.3,0.22,0.24,0.83,5.4,0.74,0.42,530,2
2.8,2.3,2.4,24.0,98,0.05,0.09,0.27,0.83,5.7,0.66,0.36,560,2
2.7,3.55,2.36,20.5,6,0.7,0.2,0.07,0.84,5.0,0.78,0.29,600,2
2.5,0.24,2.25,7.5,85,2.0,0.58,0.6,0.25,5.45,0.75,0.5,650,2
2.6,2.46,2.2,8.5,94,0.62,0.66,0.63,0.94,7.0,0.73,0.58,695,2
2.25,4.72,2.54,20.0,89,0.38,0.47,0.53,0.8,3.85,0.75,0.27,720,2
2.53,5.5,2.64,25.0,96,0.79,0.6,0.63,0.0,5.0,0.82,0.69,505,2
3.49,3.59,2.09,9.5,88,0.62,0.48,0.58,0.88,5.7,0.8,0.82,580,2
2.84,2.96,2.6,24.0,0,2.32,0.6,0.53,0.8,4.92,0.89,2.05,590,2
2.93,2.8,2.7,20.0,96,0.54,0.5,0.53,0.75,4.6,0.77,2.3,600,2
3.36,2.56,2.35,20.0,89,0.4,0.5,0.37,0.64,5.6,0.7,2.47,780,2
3.52,3.07,2.72,23.5,97,0.55,0.52,0.5,0.55,4.35,0.89,2.06,520,2
3.62,4.95,2.35,20.0,92,2.0,0.8,0.47,0.02,4.4,0.9,2.05,550,2
2.25,3.88,2.2,8.5,2,0.38,0.78,0.29,0.04,8.2,0.65,2.0,855,2
3.06,3.57,2.05,20.0,2,0.5,0.55,0.43,0.3,4.0,0.6,0.68,830,2
3.88,5.04,2.23,20.0,80,0.98,0.34,0.4,0.68,4.9,0.58,0.33,405,2
2.87,4.6,2.48,20.5,86,0.7,0.65,0.47,0.86,7.65,0.54,0.86,625,2
3.32,3.24,2.38,20.5,92,0.93,0.76,0.45,0.25,8.42,0.55,0.62,650,2
3.08,3.9,2.36,20.5,3,0.4,0.39,0.34,0.04,9.4,0.57,0.33,550,2
3.5,3.02,2.62,24.0,23,0.4,0.57,0.22,0.25,8.6,0.59,0.3,500,2
2.79,2.67,2.48,22.0,2,0.48,0.36,0.24,0.26,0.8,0.48,0.47,480,2
3.0,0.9,2.75,25.5,6,2.2,0.28,0.26,0.56,7.0,0.6,0.33,425,2
3.23,3.3,2.28,8.5,98,0.8,0.83,0.6,0.87,0.52,0.56,0.5,675,2
2.58,0.29,2.0,20.0,3,0.48,0.58,0.53,0.4,7.6,0.58,0.55,640,2
3.07,5.09,2.32,22.0,93,0.74,0.63,0.6,0.55,7.9,0.6,0.48,725,2
3.84,4.02,2.38,9.5,89,0.8,0.83,0.48,0.56,9.0,0.57,0.64,480,2
2.45,3.03,2.64,27.0,97,0.9,0.58,0.63,0.04,7.5,0.67,0.73,880,2
4.34,0.68,2.7,25.0,98,2.8,0.3,0.53,2.7,3.0,0.57,0.96,660,2
3.48,0.67,2.64,22.5,89,2.6,0.0,0.52,2.29,0.75,0.57,0.78,620,2
2.36,3.83,2.38,20.0,88,2.3,0.92,0.5,0.04,7.65,0.56,0.58,520,2
3.69,3.26,2.54,20.0,7,0.83,0.56,0.5,0.8,5.88,0.96,0.82,680,2
2.85,3.27,2.58,22.0,6,0.65,0.6,0.6,0.96,5.58,0.87,2.0,570,2
2.96,3.45,2.35,8.5,6,0.39,0.7,0.4,0.94,5.28,0.68,0.75,675,2
3.78,2.76,2.3,22.0,90,0.35,0.68,0.4,0.03,9.58,0.7,0.68,605,2
3.73,4.36,2.26,22.5,88,0.28,0.47,0.52,0.05,6.62,0.78,0.75,520,2
3.45,3.7,2.6,23.0,0,0.7,0.92,0.43,0.46,0.68,0.85,0.56,695,2
2.82,3.37,2.3,9.5,88,0.48,0.66,0.4,0.97,0.26,0.72,0.75,685,2
3.58,2.58,2.69,24.5,5,0.55,0.84,0.39,0.54,8.66,0.74,0.8,750,2
3.4,4.6,2.86,25.0,2,0.98,0.96,0.27,0.0,8.5,0.67,0.92,630,2
2.2,3.03,2.32,9.0,96,0.25,0.49,0.4,0.73,5.5,0.66,0.83,500,2
2.77,2.39,2.28,9.5,86,0.39,0.5,0.48,0.64,9.899999,0.57,0.63,470,2
4.06,2.5,2.48,20.0,90,0.68,0.7,0.44,0.24,9.7,0.62,0.7,660,2
3.7,5.65,2.45,20.5,95,0.68,0.6,0.52,0.06,7.7,0.64,0.74,740,2
3.4,3.9,2.48,23.0,2,0.8,0.75,0.43,0.4,7.3,0.7,0.56,750,2
3.27,4.28,2.26,20.0,20,0.59,0.69,0.43,0.35,0.2,0.59,0.56,835,2
3.07,2.59,2.37,20.0,20,0.65,0.68,0.53,0.46,9.3,0.6,0.62,840,2
4.03,4.0,2.74,24.5,96,2.05,0.76,0.56,0.35,9.2,0.6,0.6,560,2
